customer_state,total_orders,total_revenue,avg_order_value,avg_review,avg_delivery_days,late_rate_pct
SP,40493,5768374.77,142.45,4.22,8.3,4.5
RJ,12350,2055401.57,166.43,3.92,14.8,12.1
MG,11354,1818891.67,160.2,4.17,11.5,4.6
RS,5344,861278.79,161.17,4.17,14.8,6.1
PR,4923,781708.8,158.79,4.22,11.5,4.0
SC,3546,595127.78,167.83,4.1,14.5,8.2
BA,3256,591137.81,181.55,3.9,18.9,12.2
DF,2080,346123.35,166.41,4.11,12.5,5.7
GO,1957,334212.35,170.78,4.08,15.2,6.5
ES,1995,317657.93,159.23,4.03,15.3,10.7
PE,1593,308972.05,193.96,4.05,18.0,9.6
CE,1279,266436.77,208.32,3.93,20.8,13.8
PA,946,212023.57,224.13,3.86,23.3,11.2
MT,886,181224.42,204.54,4.11,17.6,6.0
MA,717,147803.55,206.14,3.81,21.1,17.4
PB,517,137838.55,266.61,4.04,20.0,10.4
MS,701,134367.55,191.68,4.15,15.2,9.7
PI,476,105178.19,220.96,3.95,19.0,13.9
RN,474,100714.78,212.48,4.12,18.8,9.3
AL,397,94172.49,237.21,3.82,24.0,21.4
SE,335,70289.13,209.82,3.9,21.0,15.2
TO,274,60007.37,219.0,4.14,17.2,9.9
RO,243,56966.0,234.43,4.15,18.9,2.9
AM,145,27585.47,190.24,4.21,26.0,2.8
AC,80,19575.33,244.69,4.09,20.6,3.8
AP,67,16141.81,240.92,4.18,26.7,3.0
RR,41,9039.52,220.48,3.9,29.0,12.2
