hour_of_day,total_orders,total_revenue,avg_order_value,avg_review
0,2321,359971.26,155.09,4.02
1,1133,171556.91,151.42,4.05
2,496,64529.42,130.1,3.98
3,259,37522.55,144.87,4.23
4,203,28209.98,138.97,4.0
5,182,25617.75,140.76,4.21
6,477,63215.05,132.53,4.09
7,1199,173907.32,145.04,4.14
8,2907,452503.85,155.66,4.18
9,4647,774962.81,166.77,4.16
10,5978,950834.31,159.06,4.12
11,6385,996302.94,156.04,4.15
12,5801,949915.27,163.75,4.11
13,6309,988820.81,156.73,4.15
14,6383,1075111.97,168.43,4.14
15,6249,1026313.71,164.24,4.11
16,6475,1059203.75,163.58,4.14
17,5961,949068.96,159.21,4.14
18,5585,927740.27,166.11,4.1
19,5801,931782.02,160.62,4.1
20,6007,968021.41,161.15,4.14
21,6039,945604.59,156.58,4.12
22,5658,896176.18,158.39,4.17
23,4014,601358.28,149.82,4.1
